wiki_header,class,key_1,key_2
六角堂 (北茨城市),7,r_01_六角堂 (北茨城市)_平易化.xlsx,r_02_六角堂 (北茨城市)_平易化.xlsx
血小板,4,r_01_血小板_平易化.xlsx,r_02_血小板_平易化.xlsx
イギリスの経済,3,r_01_イギリスの経済_平易化.xlsx,r_02_イギリスの経済_平易化.xlsx
塩沢トンネル,5,r_01_塩沢トンネル_平易化.xlsx,r_02_塩沢トンネル_平易化.xlsx
セル・オートマトン,4,r_01_セル・オートマトン_平易化.xlsx,r_02_セル・オートマトン_平易化.xlsx
夜長姫と耳男,9,r_01_夜長姫と耳男_平易化.xlsx,r_02_夜長姫と耳男_平易化.xlsx
プレスター・ジョン,1,r_01_プレスター・ジョン_平易化.xlsx,r_02_プレスター・ジョン_平易化.xlsx
高橋瑞子,2,r_01_高橋瑞子_平易化.xlsx,r_02_高橋瑞子_平易化.xlsx
ハーゲン・ポアズイユ流れ,4,r_01_ハーゲン・ポアズイユ流れ_平易化.xlsx,r_02_ハーゲン・ポアズイユ流れ_平易化.xlsx
ジョージ・カニング,2,r_01_ジョージ・カニング_平易化.xlsx,r_02_ジョージ・カニング_平易化.xlsx
ソビエト連邦の食事情,3,r_01_ソビエト連邦の食事情_平易化.xlsx,r_02_ソビエト連邦の食事情_平易化.xlsx
2019年6月16日香港逃亡犯条例改正案反対デモ,3,r_01_2019年6月16日香港逃亡犯条例改正案反対デモ_平易化.xlsx,r_02_2019年6月16日香港逃亡犯条例改正案反対デモ_平易化.xlsx
中国の陶磁器,7,r_01_中国の陶磁器_平易化.xlsx,r_02_中国の陶磁器_平易化.xlsx
紀州征伐,2,r_01_紀州征伐_平易化.xlsx,r_02_紀州征伐_平易化.xlsx
アドルフ・ヒトラーの死,2,r_01_アドルフ・ヒトラーの死_平易化.xlsx,r_02_アドルフ・ヒトラーの死_平易化.xlsx
吹奏楽の歴史,7,r_01_吹奏楽の歴史_平易化.xlsx,r_02_吹奏楽の歴史_平易化.xlsx
青空 (雑誌),9,r_01_青空 (雑誌)_平易化.xlsx,r_02_青空 (雑誌)_平易化.xlsx
橋本宗吉,2,r_01_橋本宗吉_平易化.xlsx,r_02_橋本宗吉_平易化.xlsx
栃木県庁の移転,2,r_01_栃木県庁の移転_平易化.xlsx,r_02_栃木県庁の移転_平易化.xlsx
カンボジア特別法廷,2,r_01_カンボジア特別法廷_平易化.xlsx,r_02_カンボジア特別法廷_平易化.xlsx
広島電鉄,6,r_01_広島電鉄_平易化.xlsx,r_02_広島電鉄_平易化.xlsx
磯 (京丹後市),2,r_01_磯 (京丹後市)_平易化.xlsx,r_02_磯 (京丹後市)_平易化.xlsx
百済,2,r_01_百済_平易化.xlsx,r_02_百済_平易化.xlsx
御幸道路,2,r_01_御幸道路_平易化.xlsx,r_02_御幸道路_平易化.xlsx
世界金融危機 (2007年-2010年),3,r_01_世界金融危機 (2007年-2010年)_平易化.xlsx,r_02_世界金融危機 (2007年-2010年)_平易化.xlsx
ミネルバ (ローバー),5,r_01_ミネルバ (ローバー)_平易化.xlsx,r_02_ミネルバ (ローバー)_平易化.xlsx
大日本沿海輿地全図,4,r_01_大日本沿海輿地全図_平易化.xlsx,r_02_大日本沿海輿地全図_平易化.xlsx
ロベルト・シューマン,7,s_01_ロベルト・シューマン_平易化.xlsx,s_02_ロベルト・シューマン.xlsx
石淵ダム,5,r_01_石淵ダム_平易化.xlsx,r_02_石淵ダム_平易化.xlsx
朝鮮民主主義人民共和国の経済史,3,r_01_朝鮮民主主義人民共和国の経済史_平易化.xlsx,r_02_朝鮮民主主義人民共和国の経済史_平易化.xlsx
トレイン・シェッド,5,r_01_トレイン・シェッド_平易化.xlsx,r_02_トレイン・シェッド_平易化.xlsx
セシウム,4,r_01_セシウム_平易化.xlsx,r_02_セシウム_平易化.xlsx
ボルガル遺跡,7,r_01_ボルガル遺跡_平易化.xlsx,r_02_ボルガル遺跡_平易化.xlsx
詩,9,r_01_詩_平易化.xlsx,r_02_詩_平易化.xlsx
綿ふき病,4,r_01_綿ふき病_平易化.xlsx,r_02_綿ふき病_平易化.xlsx
ニュルンベルクのマイスタージンガー,7,r_01_ニュルンベルクのマイスタージンガー_平易化.xlsx,r_02_ニュルンベルクのマイスタージンガー_平易化.xlsx
西遊記の成立史,9,r_01_西遊記の成立史_平易化.xlsx,r_02_西遊記の成立史_平易化.xlsx
マニラ奇襲 (1798年),2,r_01_マニラ奇襲 (1798年)_平易化.xlsx,r_02_マニラ奇襲 (1798年)_平易化.xlsx
ファーティマ朝のエジプト侵攻 (919年-921年),2,r_01_ファーティマ朝のエジプト侵攻 (919年-921年)_平易化.xlsx,r_02_ファーティマ朝のエジプト侵攻 (919年-921年)_平易化.xlsx
メジロライアン,7,r_01_メジロライアン_平易化.xlsx,r_02_メジロライアン_平易化.xlsx
阿波電気軌道,6,r_01_阿波電気軌道_平易化.xlsx,r_02_阿波電気軌道_平易化.xlsx
軍服 (ドイツ国防軍空軍),3,r_01_軍服 (ドイツ国防軍空軍)_平易化.xlsx,r_02_軍服 (ドイツ国防軍空軍)_平易化.xlsx
スペインワイン,5,r_01_スペインワイン_平易化.xlsx,r_02_スペインワイン_平易化.xlsx
カリフォルニアネコザメ,4,r_01_カリフォルニアネコザメ_平易化.xlsx,r_02_カリフォルニアネコザメ_平易化.xlsx
陳朝,2,r_01_陳朝_平易化.xlsx,r_02_陳朝_平易化.xlsx
ようこそ実力至上主義の教室へ,9,r_01_ようこそ実力至上主義の教室へ_平易化.xlsx,r_02_ようこそ実力至上主義の教室へ_平易化.xlsx
池水は濁りににごり藤波の影もうつらず雨降りしきる,9,r_01_池水は濁りににごり藤波の影もうつらず雨降りしきる_平易化.xlsx,r_02_池水は濁りににごり藤波の影もうつらず雨降りしきる_平易化.xlsx
社寺参詣曼荼羅,1,r_01_社寺参詣曼荼羅_平易化.xlsx,r_02_社寺参詣曼荼羅_平易化.xlsx
兵士と笑う女,7,r_01_兵士と笑う女_平易化.xlsx,r_02_兵士と笑う女_平易化.xlsx
火の海,7,r_01_火の海_平易化.xlsx,r_02_火の海_平易化.xlsx
エドワード・ウッド (初代ハリファックス伯爵),2,r_01_エドワード・ウッド (初代ハリファックス伯爵)_平易化.xlsx,r_02_エドワード・ウッド (初代ハリファックス伯爵)_平易化.xlsx
岡山地底湖行方不明事故,2,r_01_岡山地底湖行方不明事故_平易化.xlsx,r_02_岡山地底湖行方不明事故_平易化.xlsx
ハチ (ヒョウ),4,r_01_ハチ (ヒョウ)_平易化.xlsx,r_02_ハチ (ヒョウ)_平易化.xlsx
宝永地震,4,r_01_宝永地震_平易化.xlsx,r_02_宝永地震_平易化.xlsx
チャリングクロス・ユーストン・アンド・ハムステッド鉄道,6,r_01_チャリングクロス・ユーストン・アンド・ハムステッド鉄道_平易化.xlsx,r_02_チャリングクロス・ユーストン・アンド・ハムステッド鉄道_平易化.xlsx
大槻磐渓,2,r_01_大槻磐渓_平易化.xlsx,r_02_大槻磐渓_平易化.xlsx
九州水力電気,5,r_01_九州水力電気_平易化.xlsx,r_02_九州水力電気_平易化.xlsx
トロールズ ミュージック★パワー,7,r_01_トロールズ ミュージック★パワー_平易化.xlsx,r_02_トロールズ ミュージック★パワー_平易化.xlsx
満洲還付条約,2,r_01_満洲還付条約_平易化.xlsx,r_02_満洲還付条約_平易化.xlsx
田の神,3,r_01_田の神_平易化.xlsx,r_02_田の神_平易化.xlsx
スペイン料理,5,r_01_スペイン料理_平易化.xlsx,r_02_スペイン料理_平易化.xlsx
中国の青銅器,7,r_01_中国の青銅器_平易化.xlsx,r_02_中国の青銅器_平易化.xlsx
郭泰源,7,r_01_郭泰源_平易化.xlsx,r_02_郭泰源_平易化.xlsx
カミーユ・ピサロ,7,r_01_カミーユ・ピサロ_平易化.xlsx,r_02_カミーユ・ピサロ_平易化.xlsx
根府川駅列車転落事故,6,r_01_根府川駅列車転落事故_平易化.xlsx,r_02_根府川駅列車転落事故_平易化.xlsx
犬小屋 (江戸幕府),2,r_01_犬小屋 (江戸幕府)_平易化.xlsx,r_02_犬小屋 (江戸幕府)_平易化.xlsx
日本の道路標識,5,r_01_日本の道路標識_平易化.xlsx,r_02_日本の道路標識_平易化.xlsx
藤織り,5,r_01_藤織り_平易化.xlsx,r_02_藤織り_平易化.xlsx
榎本三恵子,2,r_01_榎本三恵子_平易化.xlsx,r_02_榎本三恵子_平易化.xlsx
マクドネル・ダグラス MD-90,5,r_01_マクドネル・ダグラス MD-90_平易化.xlsx,r_02_マクドネル・ダグラス MD-90_平易化.xlsx
岡部幸雄,7,s_01_岡部幸雄_平易化.xlsx,s_02_岡部幸雄.xlsx
三木武夫,2,r_01_三木武夫_平易化.xlsx,r_02_三木武夫_平易化.xlsx
ウォルフ・ライエ星,4,r_01_ウォルフ・ライエ星_平易化.xlsx,r_02_ウォルフ・ライエ星_平易化.xlsx
カタルーニャ州,2,r_01_カタルーニャ州_平易化.xlsx,r_02_カタルーニャ州_平易化.xlsx
フーコーの振り子,4,r_01_フーコーの振り子_平易化.xlsx,r_02_フーコーの振り子_平易化.xlsx
水滸伝の成立史,9,r_01_水滸伝の成立史_平易化.xlsx,r_02_水滸伝の成立史_平易化.xlsx
福武電気鉄道デキ1形電気機関車,5,r_01_福武電気鉄道デキ1形電気機関車_平易化.xlsx,r_02_福武電気鉄道デキ1形電気機関車_平易化.xlsx
小辺路,2,s_01_小辺路_平易化.xlsx,s_02_小辺路.xlsx
ウィルタ,3,r_01_ウィルタ_平易化.xlsx,r_02_ウィルタ_平易化.xlsx
アウクスブルク,2,r_01_アウクスブルク_平易化.xlsx,r_02_アウクスブルク_平易化.xlsx
御土居下御側組同心,2,r_01_御土居下御側組同心_平易化.xlsx,r_02_御土居下御側組同心_平易化.xlsx
Charlotte (アニメ),7,r_01_Charlotte (アニメ)_平易化.xlsx,r_02_Charlotte (アニメ)_平易化.xlsx
大久野島の毒ガス製造,3,r_01_大久野島の毒ガス製造_平易化.xlsx,r_02_大久野島の毒ガス製造_平易化.xlsx
死の勝利 (ブリューゲル),7,r_01_死の勝利 (ブリューゲル)_平易化.xlsx,r_02_死の勝利 (ブリューゲル)_平易化.xlsx
罪と罰 (椎名林檎の曲),7,r_01_罪と罰 (椎名林檎の曲)_平易化.xlsx,r_02_罪と罰 (椎名林檎の曲)_平易化.xlsx
東慶寺,1,r_01_東慶寺_平易化.xlsx,r_02_東慶寺_平易化.xlsx
Last Labyrinth (ゲーム),7,r_01_Last Labyrinth (ゲーム)_平易化.xlsx,r_02_Last Labyrinth (ゲーム)_平易化.xlsx
老子,1,r_01_老子_平易化.xlsx,r_02_老子_平易化.xlsx
日本仏教の戒律史,1,r_01_日本仏教の戒律史_平易化.xlsx,r_02_日本仏教の戒律史_平易化.xlsx
アメリカ合衆国の経済史,3,r_01_アメリカ合衆国の経済史_平易化.xlsx,r_02_アメリカ合衆国の経済史_平易化.xlsx
バビロニア,2,r_01_バビロニア_平易化.xlsx,r_02_バビロニア_平易化.xlsx
食品サンプル,6,r_01_食品サンプル_平易化.xlsx,r_02_食品サンプル_平易化.xlsx
ウィリアム・グラッドストン,2,s_01_ウィリアム・グラッドストン_平易化.xlsx,s_02_ウィリアム・グラッドストン_平易化.xlsx
カルナック神殿,1,r_01_カルナック神殿_平易化.xlsx,r_02_カルナック神殿_平易化.xlsx
アグネスフライト,7,r_01_アグネスフライト_平易化.xlsx,r_02_アグネスフライト_平易化.xlsx
津軽丸 (2代),5,r_01_津軽丸 (2代)_平易化.xlsx,r_02_津軽丸 (2代)_平易化.xlsx
松本電灯,5,r_01_松本電灯_平易化.xlsx,r_02_松本電灯_平易化.xlsx
ぴあ (雑誌),0,r_01_ぴあ (雑誌)_平易化.xlsx,r_02_ぴあ (雑誌)_平易化.xlsx
ナンマトル,2,r_01_ナンマトル_平易化.xlsx,r_02_ナンマトル_平易化.xlsx
ウナギ科,4,r_01_ウナギ科_平易化.xlsx,r_02_ウナギ科_平易化.xlsx
北欧史,2,r_01_北欧史_平易化.xlsx,r_02_北欧史_平易化.xlsx
矢作水力,5,r_01_矢作水力_平易化.xlsx,r_02_矢作水力_平易化.xlsx
一畑電車,6,r_01_一畑電車_平易化.xlsx,r_02_一畑電車_平易化.xlsx
マックス・プランク,2,r_01_マックス・プランク_平易化.xlsx,r_02_マックス・プランク_平易化.xlsx
ギザの大ピラミッド,5,r_01_ギザの大ピラミッド_平易化.xlsx,r_02_ギザの大ピラミッド_平易化.xlsx
日本の貿易史,6,r_01_日本の貿易史_平易化.xlsx,r_02_日本の貿易史_平易化.xlsx
ゲルニカ (絵画),7,r_01_ゲルニカ (絵画)_平易化.xlsx,r_02_ゲルニカ (絵画)_平易化.xlsx
高力氏,2,r_01_高力氏_平易化.xlsx,r_02_高力氏_平易化.xlsx
織田信行,2,r_01_織田信行_平易化.xlsx,r_02_織田信行_平易化.xlsx
クロアチア王国 (925年-1102年),2,r_01_クロアチア王国 (925年-1102年)_平易化.xlsx,r_02_クロアチア王国 (925年-1102年)_平易化.xlsx
桜木遺跡 (世田谷区),2,r_01_桜木遺跡 (世田谷区)_平易化.xlsx,r_02_桜木遺跡 (世田谷区)_平易化.xlsx
名古屋急行電鉄,6,r_01_名古屋急行電鉄_平易化.xlsx,r_02_名古屋急行電鉄_平易化.xlsx
吾妻四郎助光,2,r_01_吾妻四郎助光_平易化.xlsx,r_02_吾妻四郎助光_平易化.xlsx
愛岐トンネル群,5,r_01_愛岐トンネル群_平易化.xlsx,r_02_愛岐トンネル群_平易化.xlsx
陸前高田市立図書館,0,r_01_陸前高田市立図書館_平易化.xlsx,r_02_陸前高田市立図書館_平易化.xlsx
埴輪 踊る人々,7,r_01_埴輪 踊る人々_平易化.xlsx,r_02_埴輪 踊る人々_平易化.xlsx
チャド・リビア紛争,2,r_01_チャド・リビア紛争_平易化.xlsx,r_02_チャド・リビア紛争_平易化.xlsx
ナポレオン3世,2,r_01_ナポレオン3世_平易化.xlsx,r_02_ナポレオン3世_平易化.xlsx
ボーイング717,5,r_01_ボーイング717_平易化.xlsx,r_02_ボーイング717_平易化.xlsx
白練緯地松皮菱竹模様小袖,5,r_01_白練緯地松皮菱竹模様小袖_平易化.xlsx,r_02_白練緯地松皮菱竹模様小袖_平易化.xlsx
小林ハル,7,r_01_小林ハル_平易化.xlsx,r_02_小林ハル_平易化.xlsx
ヘンリー・ペラム,2,r_01_ヘンリー・ペラム_平易化.xlsx,r_02_ヘンリー・ペラム_平易化.xlsx
ジョージ4世と競馬,7,r_01_ジョージ4世と競馬_平易化.xlsx,r_02_ジョージ4世と競馬_平易化.xlsx
暦書 (ノストラダムス),1,r_01_暦書 (ノストラダムス)_平易化.xlsx,r_02_暦書 (ノストラダムス)_平易化.xlsx
ハンセン病,4,s_01_ハンセン病_平易化.xlsx,s_02_ハンセン病_平易化.xlsx
アンドレイ・ルブリョフ (映画),7,r_01_アンドレイ・ルブリョフ (映画)_平易化.xlsx,r_02_アンドレイ・ルブリョフ (映画)_平易化.xlsx
95か条の論題,1,r_01_95か条の論題_平易化.xlsx,r_02_95か条の論題_平易化.xlsx
フェライト系ステンレス鋼,5,r_01_フェライト系ステンレス鋼_平易化.xlsx,r_02_フェライト系ステンレス鋼_平易化.xlsx
リンカーン大統領暗殺事件,2,r_01_リンカーン大統領暗殺事件_平易化.xlsx,r_02_リンカーン大統領暗殺事件_平易化.xlsx
文観,1,r_01_文観_平易化.xlsx,r_02_文観_平易化.xlsx
JR九州883系電車,5,r_01_JR九州883系電車_平易化.xlsx,r_02_JR九州883系電車_平易化.xlsx
名鉄7000系電車,5,r_01_名鉄7000系電車_平易化.xlsx,r_02_名鉄7000系電車_平易化.xlsx
高句麗,2,r_01_高句麗_平易化.xlsx,r_02_高句麗_平易化.xlsx
東京乗合自動車,6,r_01_東京乗合自動車_平易化.xlsx,r_02_東京乗合自動車_平易化.xlsx
三里塚闘争,6,s_01_三里塚闘争_平易化.xlsx,s_02_三里塚闘争.xlsx
チャンアンの景観関連遺産,7,r_01_チャンアンの景観関連遺産_平易化.xlsx,r_02_チャンアンの景観関連遺産_平易化.xlsx
オランダ黄金時代の絵画,7,r_01_オランダ黄金時代の絵画_平易化.xlsx,r_02_オランダ黄金時代の絵画_平易化.xlsx
ペリー上陸記念碑,2,r_01_ペリー上陸記念碑_平易化.xlsx,r_02_ペリー上陸記念碑_平易化.xlsx
人形峠,2,r_01_人形峠_平易化.xlsx,r_02_人形峠_平易化.xlsx
天災は忘れた頃にやってくる,3,r_01_天災は忘れた頃にやってくる_平易化.xlsx,r_02_天災は忘れた頃にやってくる_平易化.xlsx
ルイス・アルヴェス・デ・リマ・エ・シルヴァ (カシアス公爵),2,r_01_ルイス・アルヴェス・デ・リマ・エ・シルヴァ (カシアス公爵)_平易化.xlsx,r_02_ルイス・アルヴェス・デ・リマ・エ・シルヴァ (カシアス公爵)_平易化.xlsx
インフルエンザワクチン,4,r_01_インフルエンザワクチン_平易化.xlsx,r_02_インフルエンザワクチン_平易化.xlsx
ナチス・ドイツの経済,3,r_01_ナチス・ドイツの経済_平易化.xlsx,r_02_ナチス・ドイツの経済_平易化.xlsx
第五次イタリア戦争,2,r_01_第五次イタリア戦争_平易化.xlsx,r_02_第五次イタリア戦争_平易化.xlsx
下山千歳白菜,6,r_01_下山千歳白菜_平易化.xlsx,r_02_下山千歳白菜_平易化.xlsx
道管,4,r_01_道管_平易化.xlsx,r_02_道管_平易化.xlsx
ラクタリウス・インディゴ,4,r_01_ラクタリウス・インディゴ_平易化.xlsx,r_02_ラクタリウス・インディゴ_平易化.xlsx
櫻間伴馬,7,r_01_櫻間伴馬_平易化.xlsx,r_02_櫻間伴馬_平易化.xlsx
津軽ダム,5,r_01_津軽ダム_平易化.xlsx,r_02_津軽ダム_平易化.xlsx
新丸山ダム,5,r_01_新丸山ダム_平易化.xlsx,r_02_新丸山ダム_平易化.xlsx
パラグアイの歴史,2,r_01_パラグアイの歴史_平易化.xlsx,r_02_パラグアイの歴史_平易化.xlsx
伊勢湾岸自動車道,5,r_01_伊勢湾岸自動車道_平易化.xlsx,r_02_伊勢湾岸自動車道_平易化.xlsx
ドクダミ,4,r_01_ドクダミ_平易化.xlsx,r_02_ドクダミ_平易化.xlsx
鍋立山トンネル,5,r_01_鍋立山トンネル_平易化.xlsx,r_02_鍋立山トンネル_平易化.xlsx
ヤングスタウン (オハイオ州),2,r_01_ヤングスタウン (オハイオ州)_平易化.xlsx,r_02_ヤングスタウン (オハイオ州)_平易化.xlsx
チャールズ・ヴィリアーズ・スタンフォード,7,r_01_チャールズ・ヴィリアーズ・スタンフォード_平易化.xlsx,r_02_チャールズ・ヴィリアーズ・スタンフォード_平易化.xlsx
エドガー・アラン・ポー,9,r_01_エドガー・アラン・ポー_平易化.xlsx,r_02_エドガー・アラン・ポー_平易化.xlsx
結縄,8,r_01_結縄_平易化.xlsx,r_02_結縄_平易化.xlsx
高山市図書館,0,r_01_高山市図書館_平易化.xlsx,r_02_高山市図書館_平易化.xlsx
カナダ侵攻作戦,2,r_01_カナダ侵攻作戦_平易化.xlsx,r_02_カナダ侵攻作戦_平易化.xlsx
薩摩藩の天保改革,2,r_01_薩摩藩の天保改革_平易化.xlsx,r_02_薩摩藩の天保改革_平易化.xlsx
会計史,3,r_01_会計史_平易化.xlsx,r_02_会計史_平易化.xlsx
日本の獣肉食の歴史,3,r_01_日本の獣肉食の歴史_平易化.xlsx,r_02_日本の獣肉食の歴史_平易化.xlsx
アクロン (オハイオ州),2,r_01_アクロン (オハイオ州)_平易化.xlsx,r_02_アクロン (オハイオ州)_平易化.xlsx
ドイツ国大統領,2,r_01_ドイツ国大統領_平易化.xlsx,r_02_ドイツ国大統領_平易化.xlsx
西武3000系電車,5,r_01_西武3000系電車_平易化.xlsx,r_02_西武3000系電車_平易化.xlsx
第五海洋丸の遭難,5,r_01_第五海洋丸の遭難_平易化.xlsx,r_02_第五海洋丸の遭難_平易化.xlsx
0.999...,4,s_01_0.999..._平易化.xlsx,s_02_0.999..._平易化.xlsx
欧州連合の言語,8,r_01_欧州連合の言語_平易化.xlsx,r_02_欧州連合の言語_平易化.xlsx
ジョージ・グレンヴィル,2,r_01_ジョージ・グレンヴィル_平易化.xlsx,r_02_ジョージ・グレンヴィル_平易化.xlsx
太宰治と自殺,9,r_01_太宰治と自殺_平易化.xlsx,r_02_太宰治と自殺_平易化.xlsx
みどり荘事件,3,s_01_みどり荘事件_平易化.xlsx,s_02_みどり荘事件_平易化.xlsx
上甑島,2,r_01_上甑島_平易化.xlsx,r_02_上甑島_平易化.xlsx
御橋通り,2,r_01_御橋通り_平易化.xlsx,r_02_御橋通り_平易化.xlsx
喉鳴らし,4,r_01_喉鳴らし_平易化.xlsx,r_02_喉鳴らし_平易化.xlsx
チャールズ・チャップリン,7,r_01_チャールズ・チャップリン_平易化.xlsx,r_02_チャールズ・チャップリン_平易化.xlsx
サルゴン2世,2,r_01_サルゴン2世_平易化.xlsx,r_02_サルゴン2世_平易化.xlsx
サンドマン (ヴァーティゴ),7,s_01_サンドマン (ヴァーティゴ)_平易化.xlsx,s_02_サンドマン (ヴァーティゴ)_平易化.xlsx
グレート・ノーザン・ピカデリー・アンド・ブロンプトン鉄道,6,r_01_グレート・ノーザン・ピカデリー・アンド・ブロンプトン鉄道_平易化.xlsx,r_02_グレート・ノーザン・ピカデリー・アンド・ブロンプトン鉄道_平易化.xlsx
2019年6月12日香港逃亡犯条例改正案反対デモ,3,r_01_2019年6月12日香港逃亡犯条例改正案反対デモ_平易化.xlsx,r_02_2019年6月12日香港逃亡犯条例改正案反対デモ_平易化.xlsx
テイルズ オブ レジェンディア,7,s_01_テイルズ オブ レジェンディア_平易化.xlsx,s_02_テイルズ オブ レジェンディア_平易化.xlsx
ヒトに由来する生薬,4,r_01_ヒトに由来する生薬_平易化.xlsx,r_02_ヒトに由来する生薬_平易化.xlsx
皇太子徳仁親王と小和田雅子の結婚の儀,2,r_01_皇太子徳仁親王と小和田雅子の結婚の儀_平易化.xlsx,r_02_皇太子徳仁親王と小和田雅子の結婚の儀_平易化.xlsx
カトリーヌ・ド・メディシス,2,r_01_カトリーヌ・ド・メディシス_平易化.xlsx,r_02_カトリーヌ・ド・メディシス_平易化.xlsx
上野楢原のシオジ林,4,r_01_上野楢原のシオジ林_平易化.xlsx,r_02_上野楢原のシオジ林_平易化.xlsx
ロジスティック方程式,4,r_01_ロジスティック方程式_平易化.xlsx,r_02_ロジスティック方程式_平易化.xlsx
広東システム,2,r_01_広東システム_平易化.xlsx,r_02_広東システム_平易化.xlsx
クレタ島の歴史,2,r_01_クレタ島の歴史_平易化.xlsx,r_02_クレタ島の歴史_平易化.xlsx
発芽,4,r_01_発芽_平易化.xlsx,r_02_発芽_平易化.xlsx
お白石持,1,r_01_お白石持_平易化.xlsx,r_02_お白石持_平易化.xlsx
ヒトデ,4,r_01_ヒトデ_平易化.xlsx,r_02_ヒトデ_平易化.xlsx
オットー・フォン・ハプスブルク,2,r_01_オットー・フォン・ハプスブルク_平易化.xlsx,r_02_オットー・フォン・ハプスブルク_平易化.xlsx
ジェレミー・ソープ,2,r_01_ジェレミー・ソープ_平易化.xlsx,r_02_ジェレミー・ソープ_平易化.xlsx
豊橋市の映画館,7,r_01_豊橋市の映画館_平易化.xlsx,r_02_豊橋市の映画館_平易化.xlsx
タンジマート,2,r_01_タンジマート_平易化.xlsx,r_02_タンジマート_平易化.xlsx
プランバナン寺院群,1,r_01_プランバナン寺院群_平易化.xlsx,r_02_プランバナン寺院群_平易化.xlsx
ヘビの鱗,4,r_01_ヘビの鱗_平易化.xlsx,r_02_ヘビの鱗_平易化.xlsx
イリオモテヤマネコ,4,r_01_イリオモテヤマネコ_平易化.xlsx,r_02_イリオモテヤマネコ_平易化.xlsx
アレクサンドル・ゴルチャコフ,2,r_01_アレクサンドル・ゴルチャコフ_平易化.xlsx,r_02_アレクサンドル・ゴルチャコフ_平易化.xlsx
北西航路,6,r_01_北西航路_平易化.xlsx,r_02_北西航路_平易化.xlsx
鷲子山上神社,1,r_01_鷲子山上神社_平易化.xlsx,r_02_鷲子山上神社_平易化.xlsx
オオカミの再導入,4,r_01_オオカミの再導入_平易化.xlsx,r_02_オオカミの再導入_平易化.xlsx
玉置神社,1,r_01_玉置神社_平易化.xlsx,r_02_玉置神社_平易化.xlsx
